source_table,field,data_type,analysis_role,description
center1_gbm_multiomics_subset_patient_level.csv,enhancing_tumor_crossing_midline,categorical_or_text,input_or_derived_analysis_field,Enhancing tumor crossing the midline category.
center1_gbm_multiomics_subset_patient_level.csv,follow_up_time_months,numeric,input_or_derived_analysis_field,Follow-up duration in months.
center1_gbm_multiomics_subset_patient_level.csv,pfs_time_months,numeric,input_or_derived_analysis_field,Progression-free survival time in months.
center1_gbm_multiomics_subset_patient_level.csv,event,numeric,input_or_derived_analysis_field,"PFS event indicator, where 1 denotes an event and 0 denotes censoring."
center1_gbm_multiomics_subset_patient_level.csv,progression_status,categorical_or_text,input_or_derived_analysis_field,Observed PFS status label.
center1_gbm_multiomics_subset_patient_level.csv,risk_score_3dvit,numeric,input_or_derived_analysis_field,Supplied 3D-ViT risk score used as a fixed analysis input.
center1_gbm_multiomics_subset_patient_level.csv,risk_group_3dvit,categorical_or_text,input_or_derived_analysis_field,Supplied 3D-ViT risk-group label.
center1_gbm_multiomics_subset_patient_level.csv,risk_score_3dcnn_source,numeric,input_or_derived_analysis_field,Field retained from the supplied analysis table.
center1_gbm_multiomics_subset_patient_level.csv,risk_score_3dcnn,numeric,input_or_derived_analysis_field,Supplied 3D-CNN risk score used as a fixed analysis input.
center1_gbm_multiomics_subset_patient_level.csv,risk_group_3dcnn,categorical_or_text,input_or_derived_analysis_field,Supplied 3D-CNN risk-group label.
center1_gbm_multiomics_subset_patient_level.csv,training_cutoff_3dvit,numeric,input_or_derived_analysis_field,Training-derived 3D-ViT score cutoff.
center1_gbm_multiomics_subset_patient_level.csv,training_cutoff_3dcnn,numeric,input_or_derived_analysis_field,Training-derived 3D-CNN score cutoff.
center1_gbm_multiomics_subset_patient_level.csv,vit_z,numeric,input_or_derived_analysis_field,Training-standardized 3D-ViT score.
center1_gbm_multiomics_subset_patient_level.csv,clinical_signal_z,numeric,input_or_derived_analysis_field,Supplied standardized clinicoradiologic signal.
imaging_3center_patient_level.csv,patient_id,categorical_or_text,identifier,De-identified patient-level key used for joins.
imaging_3center_patient_level.csv,center,categorical_or_text,input_or_derived_analysis_field,Participating center label.
imaging_3center_patient_level.csv,institution,categorical_or_text,input_or_derived_analysis_field,Institution label.
imaging_3center_patient_level.csv,subtype,categorical_or_text,input_or_derived_analysis_field,Molecular tumor subtype.
imaging_3center_patient_level.csv,age,numeric,input_or_derived_analysis_field,"Age at imaging, in years."
imaging_3center_patient_level.csv,sex,categorical_or_text,input_or_derived_analysis_field,Recorded sex category.
imaging_3center_patient_level.csv,preoperative_kps,numeric,input_or_derived_analysis_field,Preoperative Karnofsky Performance Status.
imaging_3center_patient_level.csv,who_grade,categorical_or_text,input_or_derived_analysis_field,Integrated WHO tumor grade category.
imaging_3center_patient_level.csv,mgmt_promoter_methylation,categorical_or_text,input_or_derived_analysis_field,MGMT promoter methylation category.
imaging_3center_patient_level.csv,extent_of_resection,categorical_or_text,input_or_derived_analysis_field,Extent of surgical resection.
imaging_3center_patient_level.csv,postoperative_radiotherapy,categorical_or_text,input_or_derived_analysis_field,Recorded postoperative radiotherapy status.
imaging_3center_patient_level.csv,postoperative_chemotherapy,categorical_or_text,input_or_derived_analysis_field,Recorded postoperative chemotherapy status.
imaging_3center_patient_level.csv,tumor_location,categorical_or_text,input_or_derived_analysis_field,Conventional MRI tumor-location category.
imaging_3center_patient_level.csv,tumor_volume_cm3,numeric,input_or_derived_analysis_field,Tumor volume in cubic centimeters.
imaging_3center_patient_level.csv,enhancing_proportion,categorical_or_text,input_or_derived_analysis_field,Ordinal enhancing-tumor proportion category.
imaging_3center_patient_level.csv,necrotic_proportion,categorical_or_text,input_or_derived_analysis_field,Ordinal necrotic-tumor proportion category.
imaging_3center_patient_level.csv,peritumoral_flair_extent,categorical_or_text,input_or_derived_analysis_field,Ordinal peritumoral T2/FLAIR abnormality category.
imaging_3center_patient_level.csv,ependymal_involvement,categorical_or_text,input_or_derived_analysis_field,Ependymal involvement category.
imaging_3center_patient_level.csv,deep_white_matter_invasion,categorical_or_text,input_or_derived_analysis_field,Deep-white-matter invasion category.
imaging_3center_patient_level.csv,enhancing_tumor_crossing_midline,categorical_or_text,input_or_derived_analysis_field,Enhancing tumor crossing the midline category.
imaging_3center_patient_level.csv,follow_up_time_months,numeric,input_or_derived_analysis_field,Follow-up duration in months.
imaging_3center_patient_level.csv,pfs_time_months,numeric,input_or_derived_analysis_field,Progression-free survival time in months.
imaging_3center_patient_level.csv,event,numeric,input_or_derived_analysis_field,"PFS event indicator, where 1 denotes an event and 0 denotes censoring."
imaging_3center_patient_level.csv,progression_status,categorical_or_text,input_or_derived_analysis_field,Observed PFS status label.
imaging_3center_patient_level.csv,risk_score_3dvit,numeric,input_or_derived_analysis_field,Supplied 3D-ViT risk score used as a fixed analysis input.
imaging_3center_patient_level.csv,risk_group_3dvit,categorical_or_text,input_or_derived_analysis_field,Supplied 3D-ViT risk-group label.
imaging_3center_patient_level.csv,risk_score_3dcnn_source,numeric,input_or_derived_analysis_field,Field retained from the supplied analysis table.
imaging_3center_patient_level.csv,risk_score_3dcnn,numeric,input_or_derived_analysis_field,Supplied 3D-CNN risk score used as a fixed analysis input.
imaging_3center_patient_level.csv,risk_group_3dcnn,categorical_or_text,input_or_derived_analysis_field,Supplied 3D-CNN risk-group label.
imaging_3center_patient_level.csv,training_cutoff_3dvit,numeric,input_or_derived_analysis_field,Training-derived 3D-ViT score cutoff.
imaging_3center_patient_level.csv,training_cutoff_3dcnn,numeric,input_or_derived_analysis_field,Training-derived 3D-CNN score cutoff.
imaging_3center_patient_level.csv,cohort,categorical_or_text,input_or_derived_analysis_field,Analysis cohort.
imaging_3center_patient_level.csv,cohort_label,categorical_or_text,input_or_derived_analysis_field,Field retained from the supplied analysis table.
imaging_3center_patient_level.csv,cohort_period,categorical_or_text,input_or_derived_analysis_field,Field retained from the supplied analysis table.
imaging_3center_patient_level.csv,vit_z,numeric,input_or_derived_analysis_field,Training-standardized 3D-ViT score.
imaging_3center_patient_level.csv,clinical_signal_z,numeric,input_or_derived_analysis_field,Supplied standardized clinicoradiologic signal.
reader_ratings_long.csv,patient_id,categorical_or_text,identifier,De-identified patient-level key used for joins.
reader_ratings_long.csv,cohort,categorical_or_text,input_or_derived_analysis_field,Analysis cohort.
reader_ratings_long.csv,institution,categorical_or_text,input_or_derived_analysis_field,Institution label.
reader_ratings_long.csv,feature,categorical_or_text,input_or_derived_analysis_field,Reader-assessed conventional MRI feature key.
reader_ratings_long.csv,feature_label,categorical_or_text,input_or_derived_analysis_field,Reader-assessed conventional MRI feature label.
reader_ratings_long.csv,scale,categorical_or_text,input_or_derived_analysis_field,Measurement scale used for reader agreement.
reader_ratings_long.csv,consensus_label,categorical_or_text,input_or_derived_analysis_field,Consensus label for the assessed feature.
reader_ratings_long.csv,reader_1_rating,categorical_or_text,input_or_derived_analysis_field,Rating from reader 1.
reader_ratings_long.csv,reader_2_rating,categorical_or_text,input_or_derived_analysis_field,Rating from reader 2.
segmentation_metrics_patient_level.csv,patient_id,categorical_or_text,identifier,De-identified patient-level key used for joins.
segmentation_metrics_patient_level.csv,cohort,categorical_or_text,input_or_derived_analysis_field,Analysis cohort.
segmentation_metrics_patient_level.csv,institution,categorical_or_text,input_or_derived_analysis_field,Institution label.
segmentation_metrics_patient_level.csv,subtype,categorical_or_text,input_or_derived_analysis_field,Molecular tumor subtype.
segmentation_metrics_patient_level.csv,tumor_volume_cm3,numeric,input_or_derived_analysis_field,Tumor volume in cubic centimeters.
segmentation_metrics_patient_level.csv,dice_similarity,numeric,input_or_derived_analysis_field,Patient-level Dice similarity coefficient.
segmentation_metrics_patient_level.csv,hd95_mm,numeric,input_or_derived_analysis_field,Patient-level 95th-percentile Hausdorff distance in millimeters.
segmentation_metrics_patient_level.csv,segmentation_qc_category,categorical_or_text,input_or_derived_analysis_field,Segmentation quality-control category.
